Категорія,Назва,Бренд,Ціна,Наявність,Стан,Гарантія,Фото (ім'я файлу або посилання),Опис
Аксесуари до мобільних телефоні,"Hoco J154A Victorious 20000mAh — Повербанк 22.5W/PD20W, чорний",Hoco,771,в наявності,нове,6 міс.,hoco-j154a-victorious-20000mah-poverbank-22-5w-pd20w-chornyi.jpg,"Опис Повербанк Hoco J154A Victorious 22.5W+PD20W fully compatible 20000mAh — це зовнішній акумулятор для дротового заряджання смартфонів, планшетів та інших сумісних пристроїв. Модель поєднує ємність 20000 мАг , підтримку популярних протоколів швидкого заряджання та зручний набір роз’ємів для щоденного використання. Пристрій підтримує потужність до 22.5 Вт і технології Power Delivery та Quick Charge 3.0 , що дає змогу швидше поповнювати заряд сумісної електроніки. Для підключення передбачено USB і Type-C , а загальна кількість USB-портів становить 3 , що робить модель практичною для заряджання кількох пристроїв. Корпус виготовлений із ABS-пластику та PC , завдяки чому повербанк розрахований на щоденне використання. Для контролю рівня заряду передбачено LED-індикатор , а спосіб визначення рівня ємності вказано як механічний . Переваги та особливості Ємність 20000 мАг — підходить для багаторазового підзаряджання сумісних пристроїв."
Мережеве обладнання,"POE-комутатор Utex UT-1010B: 8 PoE-портів + 2 Uplink, 100 Мбіт/с",Utex,1189,в наявності,нове,,poe-komutator-utex-ut-1010b-8-poe-portiv-2-uplink-100-mbit-s.jpeg,"Опис POE комутатор Utex UT-1010B — це 10-портовий мережевий комутатор із підтримкою живлення за технологією PoE, призначений для підключення сумісного обладнання в мережах 10/100 Мбіт/с. Модель оснащена 8 портами PoE 10/100 Mbps та 2 uplink-портами RJ-45 10/100 Mbps , що дає змогу організувати зручну схему підключення пристроїв і лінії зв’язку. Комутатор має вбудоване джерело живлення , завдяки чому не потрібен окремий зовнішній блок живлення для його роботи. Загальний бюджет потужності становить 120 Вт , що дає змогу використовувати пристрій для підключення кількох PoE-пристроїв у межах підтримуваної потужності. На окрему увагу заслуговує функція моніторингу мережі на відстані до 250 м , що робить модель практичним рішенням для завдань, де потрібна збільшена дальність мережевого підключення."
Мережеве обладнання,POE-комутатор Utex UT-1010GB: 8 PoE 10/100 Мбіт/с + 2 Gigabit Uplink,Utex,1441,в наявності,нове,,poe-komutator-utex-ut-1010gb-8-poe-10-100-mbit-s-2-gigabit-u.jpeg,"Опис POE-комутатор Utex UT-1010GB — це 10-портовий активний PoE-комутатор, призначений для підключення мережевого обладнання з передаванням живлення та даних одним кабелем. Модель оснащена 8 PoE-портами 10/100 Мбіт/с і 2 гігабітними uplink-портами , що дає змогу організувати зручну схему підключення камер відеоспостереження та інших сумісних пристроїв. Комутатор підтримує дальність моніторингу від 0 до 250 м , що робить його придатним для побудови мереж на об’єктах із віддаленими точками підключення. Наявність функції розширення мережевого сигналу забезпечує високу швидкість і стабільність передавання даних. Для завдань відеоспостереження важливою перевагою є нульова затримка моніторингу , завдяки чому потік передається без додаткових пауз. Це особливо актуально при підключенні кількох пристроїв в одній системі. Корпус пристрою виконаний із металу , що підвищує надійність конструкції та робить комутатор зручним для розміщення в різних умовах експлуатації."
Мережеве обладнання,Utex UT-1006B — POE-комутатор 4×100M POE + 2×100M Uplink,Utex,1134,в наявності,нове,,utex-ut-1006b-poe-komutator-4-100m-poe-2-100m-uplink.jpeg,"Опис POE комутатор Utex UT-1006B — 6-портовий мережевий пристрій для підключення обладнання за технологією PoE. Модель оснащена 4 портами 10/100 Mbps PoE та 2 портами 10/100 Mbps UPLINK (RJ-45) , що дає змогу одночасно передавати дані та живлення до сумісних пристроїв через один кабель. Комутатор підходить для організації мережевої інфраструктури, де потрібно підключити кілька PoE-пристроїв зі зручним виведенням на uplink-порти. Пристрій підтримує передавання даних на відстань до 250 м , що робить його практичним рішенням для побудови мереж із віддаленими точками підключення. Модель підтримує VLAN , що може бути корисним для сегментації мережі та впорядкування трафіку. Металевий корпус забезпечує міцну конструкцію, а компактні розміри дають змогу зручно розмістити комутатор у робочій зоні. Особливості та переваги 6 портів: 4 порти PoE 10/100 Mbps і 2 порти UPLINK 10/100 Mbps RJ-45. Підтримка PoE: живлення та передавання даних одним кабелем. Дальність передавання: від 0 до 250 м."
Мережеве обладнання,Ідеальна антена Huawei для 3G/4G LTE з роз'ємом SMA,,157,в наявності,нове,,idealna-antena-huawei-dlia-3g-4g-lte-z-roziemom-sma.jpg,"3G/4G LTE Антена Huawei шпиль SMA Опис: 3G/4G LTE Антена Huawei шпиль SMA - це високоякісна антена, призначена для підсилення сигналу мобільного зв'язку. Вона забезпечує стабільне з'єднання та підвищену швидкість передачі даних, що робить її відмінним вибором для покращення якості зв'язку."
Кабель,"Ізострічка EUROSKY (0,13мм*19мм*25м) Біла",Eurosky,56,в наявності,нове,,izostrichka-eurosky-0-13mm-19mm-25m-bila.jpg,"Ізоляційна стрічка ELEX призначена для ізолювання оголених частин провідника, захищаючи тим самим від ураження електричним струмом, а також виникнення короткого замикання. Довжина 25 метрів. Ширина 19мм. Товщина 0,13мм. Використання різнобарвної ізоленти, що додатково дозволяє виконувати маркування. При виробництві ізоленти ELEX використовується спеціальний негорючий ПВХ."
Кабель,"Ізострічка EUROSKY (0,13мм*19мм*25м) Жовта",Eurosky,56,в наявності,нове,,izostrichka-eurosky-0-13mm-19mm-25m-zhovta.jpg,"Ізоляційна стрічка ELEX призначена для ізолювання оголених частин провідника, захищаючи тим самим від ураження електричним струмом, а також виникнення короткого замикання. Довжина 25 метрів. Ширина 19мм. Товщина 0,13мм. Використання різнобарвної ізоленти, що додатково дозволяє виконувати маркування. При виробництві ізоленти ELEX використовується спеціальний негорючий ПВХ."
Кабель,"Ізострічка EUROSKY (0,13мм*19мм*25м) Зелена",Eurosky,56,в наявності,нове,,izostrichka-eurosky-0-13mm-19mm-25m-zelena.jpg,"Ізоляційна стрічка ELEX призначена для ізолювання оголених частин провідника, захищаючи тим самим від ураження електричним струмом, а також виникнення короткого замикання. Довжина 25 метрів. Ширина 19мм. Товщина 0,13мм. Використання різнобарвної ізоленти, що додатково дозволяє виконувати маркування. При виробництві ізоленти ELEX використовується спеціальний негорючий ПВХ."
Кабель,"Ізострічка EUROSKY (0,13мм*19мм*25м) Синя",Eurosky,56,в наявності,нове,,izostrichka-eurosky-0-13mm-19mm-25m-synia.jpg,"Ізоляційна стрічка ELEX призначена для ізолювання оголених частин провідника, захищаючи тим самим від ураження електричним струмом, а також виникнення короткого замикання. Довжина 25 метрів. Ширина 19мм. Товщина 0,13мм. Використання різнобарвної ізоленти, що додатково дозволяє виконувати маркування. При виробництві ізоленти ELEX використовується спеціальний негорючий ПВХ."
Кабель,"Ізострічка EUROSKY (0,13мм*19мм*25м) Червона",Eurosky,56,в наявності,нове,,izostrichka-eurosky-0-13mm-19mm-25m-chervona.jpg,"Ізоляційна стрічка ELEX призначена для ізолювання оголених частин провідника, захищаючи тим самим від ураження електричним струмом, а також виникнення короткого замикання. Довжина 25 метрів. Ширина 19мм. Товщина 0,13мм. Використання різнобарвної ізоленти, що додатково дозволяє виконувати маркування. При виробництві ізоленти ELEX використовується спеціальний негорючий ПВХ."
Кабель,"Ізострічка EUROSKY (0,13мм*19мм*25м) Чорна",Eurosky,56,в наявності,нове,,izostrichka-eurosky-0-13mm-19mm-25m-chorna.jpg,"Ізоляційна стрічка ELEX призначена для ізолювання оголених частин провідника, захищаючи тим самим від ураження електричним струмом, а також виникнення короткого замикання. Довжина 25 метрів. Ширина 19мм. Товщина 0,13мм. Використання різнобарвної ізоленти, що додатково дозволяє виконувати маркування. При виробництві ізоленти ELEX використовується спеціальний негорючий ПВХ."
Електроживлення,Інвертор напруги модифікована синусоїда FA-1000A 1000W 12V/220V,,1462,в наявності,нове,,invertor-naprugy-modyfikovana-synusoida-fa-1000a-1000w-12v-2.jpg,"Інвертор Sunchonglic 12v 220v 1000va Модифікований синусоїдальний інвертор FA-1000A Модифікований синусоїдальний інвертор Характеристики: Модифікована синусоїдальна вихідна форма. Висока ефективність перетворення, функція інтелектуального плавного запуску. Вхід та вихід повністю незалежні. Розумний, легкий та портативний, розроблений для домашнього використання. Універсальна розетка, підходить для всіх типів штекерів. Застосовується для резистивних навантажень змінного струму Високоточна технологія стабілізації напруги, технологія безшумності аерокосмічного класу Охолоджувач вентилятора та робочий стан інтелектуально контролюються мікроконтролером, що значною мірою подовжує термін його служби та допомагає заощадити енергоспоживання. Розроблено кілька безпечних захисних механізмів, включаючи захист від перевантаження/перенапруги/низької напруги/високої температури, короткого замикання та зворотного підключення. УВАГА! Інвертор не завантажувати потужними електроприладами!"
Електроживлення,Інвертор напруги із чистою синусоїдою 1500W,,118,в наявності,нове,,invertor-naprugy-iz-chystoiu-synusoidoiu-1500w.jpg,"Інвертор 12V-220V 1500W Чистий синус перетворювач напруги Прилад призначений для перетворення електрики з 12В на 220В. Дозволяє підключати навантаження 1500Вт. Таким чином стає можливим підключати до мережі такі пристрої як: ноутбуки, телевізори, DVD-плеєри, музичні центри, освітлювальні лампи, вентилятори, касові апарати, системи охоронно-пожежної сигналізації (ОПС), відеоспостереження та зв'язок живлення чайників, різних освітлювальних приладів, електричного інструменту, побутових приладів та багато іншого. Слід дотримуватися послідовності підключення приладів: спочатку під'єднуються до роз'єму прикурювача або до клем акумулятора (залежно від комплектації) інвертор напруги, потім в гніздо інвертора підключається споживач (у вимкненому стані) і тільки потім включається інвертор, а потім і сам споживач. Він відмінно підходить у випадках, коли вам необхідно забезпечувати тривале живлення різних пристроїв потужністю до 1500Вт."
Електроживлення,Інвертор напруги із чистою синусоїдою 1600W Gold,,88,в наявності,нове,,invertor-naprugy-iz-chystoiu-synusoidoiu-1600w-gold.jpg,"Інвертор 12V-220V 1600W Чистий синус перетворювач напруги Прилад призначений для перетворення електрики з 12В на 220В. Дозволяє підключати навантаження 1600Вт. Таким чином стає можливим підключати до мережі такі пристрої як: ноутбуки, телевізори, DVD-плеєри, музичні центри, освітлювальні лампи, вентилятори, касові апарати, системи охоронно-пожежної сигналізації (ОПС), відеоспостереження та зв'язок живлення чайників, різних освітлювальних приладів, електричного інструменту, побутових приладів та багато іншого. Слід дотримуватися послідовності підключення приладів: спочатку під'єднуються до роз'єму прикурювача або до клем акумулятора (залежно від комплектації) інвертор напруги, потім в гніздо інвертора підключається споживач (у вимкненому стані) і тільки потім включається інвертор, а потім і сам споживач. Він відмінно підходить у випадках, коли вам необхідно забезпечувати тривале живлення різних пристроїв потужністю до 1500Вт."
Електроживлення,Інвертор напруги із чистою синусоїдою 1600W Tataliken,Tataliken,2518,в наявності,нове,,invertor-naprugy-iz-chystoiu-synusoidoiu-1600w-tataliken.jpg,"Інвертор 12V-220V 1600W Чистий синус перетворювач напруги Прилад призначений для перетворення електрики з 12В на 220В. Дозволяє підключати навантаження 1600Вт. Таким чином стає можливим підключати до мережі такі пристрої як: ноутбуки, телевізори, DVD-плеєри, музичні центри, освітлювальні лампи, вентилятори, касові апарати, системи охоронно-пожежної сигналізації (ОПС), відеоспостереження та зв'язок живлення чайників, різних освітлювальних приладів, електричного інструменту, побутових приладів та багато іншого. Слід дотримуватися послідовності підключення приладів: спочатку під'єднуються до роз'єму прикурювача або до клем акумулятора (залежно від комплектації) інвертор напруги, потім в гніздо інвертора підключається споживач (у вимкненому стані) і тільки потім включається інвертор, а потім і сам споживач. Він відмінно підходить у випадках, коли вам необхідно забезпечувати тривале живлення різних пристроїв потужністю до 1500Вт."
Електроживлення,Інвертор напруги із чистою синусоїдою 2500W Tataliken,Tataliken,3681,в наявності,нове,,invertor-naprugy-iz-chystoiu-synusoidoiu-2500w-tataliken.jpg,"Інвертор із чистою синусоїдою, що підходить для газових котлів, для двоконтурних газових котлів, холодильників та іншої домашньої техніки TATALIKEN з 12V на 220V DС/AC 2500W. Бренд TATALIKEN має корейське походження та вся продукція вироблялася у Південній Кореї. Наразі все виробництво перенесено до Китаю у зв'язку з політикою компанії, проте це не вплинуло на якість продукції. Конвертер має активне охолодження та вбудований вольтметр. Корпус виконаний із алюмінію. Характеристики: Вхідна напруга 12 В (10.0 - 15.0 VDC, постійна) Вихідна напруга 220 В (VAC, змінний) Форма вихідного сигналу – правильна чиста синусоїда Частота вихідного сигналу 50 Гц +/- 2 Гц Номінальна потужність: 1000W, пікова 2500W Тривала робота перетворювача напруги, можлива у разі навантаження трохи більше 1250W. Автоматичне вимкнення за низького рівня заряду акумулятора. Автоматичне вимкнення при перевантаженні, короткому замиканні."
Електроживлення,Інвертор напруги із чистою синусоїдою 3500W Tataliken,Tataliken,4536,в наявності,нове,,invertor-naprugy-iz-chystoiu-synusoidoiu-3500w-tataliken.jpg,"Інвертор із чистою синусоїдою, що підходить для газових котлів, для двоконтурних газових котлів, холодильників та іншої домашньої техніки TATALIKEN з 12V на 220V DС/AC 3500W. Бренд TATALIKEN має корейське походження та вся продукція вироблялася у Південній Кореї. Наразі все виробництво перенесено до Китаю у зв'язку з політикою компанії, проте це не вплинуло на якість продукції. Конвертер має активне охолодження та вбудований вольтметр. Корпус виконаний із алюмінію. Характеристики: Вхідна напруга 12 В (10.0 - 15.0 VDC, постійна) Вихідна напруга 220 В (VAC, змінний) Форма вихідного сигналу – правильна чиста синусоїда Частота вихідного сигналу 50 Гц +/- 2 Гц Номінальна потужність: 1200W, пікова 3500W Тривала робота перетворювача напруги, можлива у разі навантаження трохи більше 1500W. Автоматичне вимкнення за низького рівня заряду акумулятора. Автоматичне вимкнення при перевантаженні, короткому замиканні."
Електроживлення,Інвертор напруги із чистою синусоїдою 4000W Solar Power Inverter,,88,в наявності,нове,,invertor-naprugy-iz-chystoiu-synusoidoiu-4000w-solar-power-i.jpg,"Інвертор 12V-220V 3000W Чистий синус перетворювач напруги Прилад призначений для перетворення електрики з 12В на 220В. Дозволяє підключати навантаження 3000Вт. Таким чином стає можливим підключати до мережі такі пристрої як: ноутбуки, телевізори, DVD-плеєри, музичні центри, освітлювальні лампи, вентилятори, касові апарати, системи охоронно-пожежної сигналізації (ОПС), відеоспостереження та зв'язок живлення чайників, різних освітлювальних приладів, електричного інструменту, побутових приладів та багато іншого. Слід дотримуватися послідовності підключення приладів: спочатку під'єднуються до роз'єму прикурювача або до клем акумулятора (залежно від комплектації) інвертор напруги, потім в гніздо інвертора підключається споживач (у вимкненому стані) і тільки потім включається інвертор, а потім і сам споживач. Він відмінно підходить у випадках, коли вам необхідно забезпечувати тривале живлення різних пристроїв потужністю до 1500Вт."
